Lifecycle,project_id,Maintainer Name,Company,GitHub Name,maintainers.yaml,Mailing List
Incubating,thanos-io,Bartlomiej Plotka,Google,bwplotka,https://github.com/thanos-io/.project/blob/main/maintainers.yaml,cncf-thanos-maintainers@lists.cncf.io
,,Ben Ye,"Amazon Web Services, Inc.",yeya24,,
,,Filip Petkovski,Individual - No Account,fpetkovski,,
,,Frederic Branczyk,Polar Signals Inc,brancz,,
,,Giedrius GiedriusS,Adform,GiedriusS,,
,,Lucas Lucas Servén Marín,Red Hat LLC,squat,,
,,Michael Hoffmann,Individual - No Account,MichaHoffmann,,
,,,,onprem,,
,,Saswata Mukherjee,Red Hat LLC,saswatamcode,,
Incubating,theupdateframework,John Kjell,Control-Plane.io,jkjell,https://github.com/theupdateframework/.project/blob/main/maintainers.yaml,cncf-tuf-maintainers@lists.cncf.io
,,Joshua Lock,Individual - No Account,joshuagl,,
,,Justin Cappos,New York University,JustinCappos,,
,,Lukas Pühringer,New York University,lukpueh,,
,,Marina Moore,Individual - No Account,mnm678,,
,,Trishank Kuppusamy,"Datadog, Inc",trishankatdatadog,,
Incubating,volcano-sh,Kevin Wang,"Huawei Technologies Co., Ltd",kevin-wangzefeng,https://github.com/volcano-sh/.project/blob/main/maintainers.yaml,cncf-volcano-maintainers@lists.cncf.io
,,Klaus Ma,NVIDIA Corporation,k82cn,,
,,Lei Wu,"Huawei Technologies Co., Ltd",Thor-wl,,
,,Liang Tang,"Beijing Baidu Netcom Science Technology Co., Ltd.",shinytang6,,
,,william wang,Nvidia,william-wang,,
,,Xuzheng Chang,"Huawei Technologies Co., Ltd",Monokaix,,
,,Zhonghu Xu,"Huawei Technologies Co., Ltd",hzxuzhonghu,,
,,Zicong Chen,Huawei Technologies Co. Ltd,JesseStutler,,
Incubating,wasmCloud,Aditya Salunkhe,Individual - No Account,Aditya1404Sal,https://github.com/wasmCloud/.project/blob/main/maintainers.yaml,cncf-wasmCloud-maintainers@lists.cncf.io
,,Bailey Hayes,Cosmonic,ricochet,,
,,Brooks Townsend,Cosmonic,brooksmtownsend,,
,,Christopher Rash,Individual - No Account,jordan-rash,,
,,Colin Murphy,Adobe Inc.,cdmurph32,,
,,Liam Randall,Stacklet,liamrandall,,
,,Victor Adossi,Individual - No Account,vados-cosmonic,,
Sandbox,aeraki-mesh,chen tanjun,"Beijing Baidu Netcom Science Technology Co., Ltd.",tanjunchen,https://github.com/aeraki-mesh/.project/blob/main/maintainers.yaml,cncf-aerakimesh-maintainers@lists.cncf.io
,,Huabing Zhao,Tetrate.io,zhaohuabing,,
,,,,huanghuangzym,,
,,,,sad-polar-bear,,
,,,,smwyzi,,
,,,,whitefirer,,
,,Xunzhuo Liu,Tencent Holdings Limited,xunzhuo,,
Sandbox,agones-dev,Ivy Gooch,Google,igooch,https://github.com/agones-dev/.project/blob/main/maintainers.yaml,cncf-agones-maintainers@lists.cncf.io
,,Jose Vicente Ferrara Brondo,Google LLC,vicentefb,,
,,Mark Mandel,"Discord, Inc.",markmandel,,
,,Thomas Lacroix,Ubisoft Montréal,lacroixthomas,,
Sandbox,antrea-io,Antonin Bas,Broadcom Inc,antoninbas,https://github.com/antrea-io/.project/blob/main/maintainers.yaml,cncf-antrea-maintainers@lists.cncf.io
,,Jianjun Shen,VMware LLC,jianjuns,,
,,Quan Tian,VMware LLC,tnqn,,
,,Salvatore Orlando,VMware LLC,salv-orlando,,
Sandbox,Apicurio,Carles Arnal,Individual - No Account,carlesarnal,https://github.com/Apicurio/.project/blob/main/maintainers.yaml,cncf-apicurio-registry-maintainers@lists.cncf.io
,,Eric Wittmann,Individual - No Account,EricWittmann,,
,,Jakub Senko,Individual - No Account,jsenko,,
,,,,nikishapatil26,,
,,Paolo Antinori,IBM,paoloantinori,,
,,Vandana Yadav,Individual - No Account,vandanayadav7,,
Sandbox,armadaproject,,,d80tb7,https://github.com/armadaproject/.project/blob/main/maintainers.yaml,cncf-armada-maintainers@lists.cncf.io
,,Dave Gantenbein,G-Research,dave-gantenbein,,
,,,,dejanzele,,
,,,,eleanorpratt,,
,,,,gabrielgalera,,
,,Geoffrey Wilson,gr-oss.io,suprjinx,,
,,,,JamesMurkin,,
,,Martynas Asipauskas,Individual - No Account,masipauskas,,
,,Maurice Yap,Individual - No Account,mauriceyap,,
,,,,MustafaI,,
,,Nikola Jokic,Individual - No Account,nikola-jokic,,
,,,,richscott,,
,,,,robertdavidsmith,,
,,,,samclark,,
,,,,zuqq,,
Sandbox,AthenZ,Abhijeet V,Capital One Financial Corporation,abvaidya,https://github.com/AthenZ/.project/blob/main/maintainers.yaml,cncf-athenz-maintainers@lists.cncf.io
,,Henry Avetisyan,Individual - No Account,havetisyan,,
,,Sasidhar Palaka,Yahoo! Inc.,psasidhar,,
Sandbox,bank-vaults,András Jáky,Outshift by Cisco,akijakya,https://github.com/bank-vaults/.project/blob/main/maintainers.yaml,cncf-bank-vaults-maintainers@lists.cncf.io
,,Bence Csáti,Individual - No Account,csatib02,,
,,Márk Sági-Kazár,Individual - No Account,sagikazarmark,,
,,Ramiz Polić,"Cisco Systems, Inc.",ramizpolic,,
Sandbox,BFE,,,andyxmu,https://github.com/bfenetworks/.project/blob/main/maintainers.yaml,cncf-bfe-maintainers@lists.cncf.io
,,,,clarinette9,,
,,Derek Zheng,Individual - No Account,shanhuhai5739,,
,,,,kaiyuzheng,,
,,Miles Zhang,"Beijing Baidu Netcom Science Technology Co., Ltd.",mileszhang2016,,
,,Sijie YANG,Individual - No Account,iyangsj,,
,,,,tianxinheihei,,
,,,,weiwei99,,
,,,,xiaofei0800,,
,,,,xuleiming,,
,,,,YuqiXiao,,
Sandbox,bootc-dev,Chris Kyrouac,Red Hat LLC,ckyrouac,https://github.com/bootc-dev/.project/blob/main/maintainers.yaml,cncf-bootc-maintainers@lists.cncf.io
,,Colin Walters,Individual - No Account,cgwalters,,
,,Gursewak Mangat,Red Hat LLC,gursewak1997,,
,,Henry Wang,Individual - No Account,henrywang,,
,,John Eckersberg,Individual - No Account,jeckersb,,
,,Joseph Marrero Corchado,Red Hat LLC,jmarrero,,
,,Laura Santamaria,Red Hat,nimbinatus,,
,,Mark Russell,Red Hat LLC,marrusl,,
,,Mohan Shash,Individual - No Account,mohan-shash,,
,,Preethi Thomas,Individual - No Account,preethit,,
Sandbox,bpfman,Andre Fredette,Red Hat LLC,anfredette,https://github.com/bpfman/.project/blob/main/maintainers.yaml,cncf-bpfman-maintainers@lists.cncf.io
,,Billy McFall,Red Hat LLC,billy99,,
,,Dave Tucker,Red Hat LLC,dave-tucker,,
,,,,frobware,,
Sandbox,cadence-workflow,Abhishek Jha,Individual - No Account,abhishekj720,https://github.com/cadence-workflow/.project/blob/main/maintainers.yaml,cncf-cadence-maintainers@lists.cncf.io
,,Adhitya Mamallan,Individual - No Account,adhityamamallan,,
,,Assem Hafez,Individual - No Account,Assem-Hafez,,
,,bowen xiao,Individual - No Account,bowenxia,,
,,Chris Warren,Individual - No Account,c-warren,,
,,Diana Zawadzki,Cadence Workflow,zawadzkidiana,,
,,Eleonora Di Gregorio,Individual - No Account,eleonoradgr,,
,,Ender Demirkaya,Uber Technologies Inc.,demirkayaender,,
,,Felipe Imanishi,Individual - No Account,fimanishi,,
,,Gaziza Yestemirova,Individual - No Account,gazi-yestemirova,,
,,Jakob Haahr,Individual - No Account,jakobht,,
,,Jan Kisel,Moscow Design Bureau - Compas,dkrotx,,
,,Kevin Burns,Individual - No Account,Bueller87,,
,,Nate Mortensen,Individual - No Account,natemort,,
,,Neil Xie,Individual - No Account,neil-xie,,
,,Shijie Sheng,Individual - No Account,shijiesheng,,
,,Stanislav Bychkov,Individual - No Account,ribaraka,,
,,Tim Li,Uber,timl3136,,
,,Timothy Chan,Individual - No Account,macrotim,,
,,Vsevolod Kaloshin,Uber,arzonus,,
,,Yawei Zhang,Individual - No Account,YaweiZhang-930,,
,,Zijian Chen,Individual - No Account,Shaddoll,,
Sandbox,carina-io,hao fan,Shopee,fanhaouu,https://github.com/carina-io/.project/blob/main/maintainers.yaml,cncf-carina-maintainers@lists.cncf.io
,,shaosong fu,Individual - No Account,antmoveh,,
,,,,ZhangZhenhua,,
Sandbox,cartography-cncf,Alex Chantavy,Individual - No Account,achantavy,https://github.com/cartography-cncf/.project/blob/main/maintainers.yaml,cncf-cartography-maintainers@lists.cncf.io
,,chandan chowdhury,Individual - No Account,chandanchowdhury,,
,,,,d-aggarwal,,
,,,,jychp,,
,,Kunaal Sikka,SubImage,kunaals,,
,,Ramon Petgrave,Individual - No Account,ramonpetgrave64,,
,,,,rileydakota,,
,,,,shyammukund,,
Sandbox,carvel-dev,Bryce Palmer,Individual - No Account,everettraven,https://github.com/carvel-dev/.project/blob/main/maintainers.yaml,cncf-carvel-maintainers@lists.cncf.io
,,Daman Arora,Individual - No Account,aroradaman,,
,,Dmitriy Kalinin,Individual - No Account,cppforlife,,
,,German Lashevich,Individual - No Account,Zebradil,,
,,Himanshu Himanshu,Individual - No Account,himsngh,,
,,,,jbrunton,,
,,Joao Pereira,VMware LLC,joaopapereira,,
,,Max Brauer,Broadcom Inc.,mamachanko,,
,,Praveen Rewar,VMware by Broadcom,praveenrewar,,
,,premkumar bhaskal,Individual - No Account,prembhaskal,,
,,Rashmi Gottipati,Red Hat LLC,rashmigottipati,,
,,Soumik Majumder,VMware LLC,100mik,,
,,Thomas Vitale,Individual - No Account,ThomasVitale,,
Sandbox,cdk8s-team,Eli Polonsky,Individual - No Account,iliapolo,https://github.com/cdk8s-team/.project/blob/main/maintainers.yaml,cncf-cdk8s-maintainers@lists.cncf.io
,,,,evgenyka,,
,,Nathan Taber,NVIDIA,tabern,,
,,,,sumupitchayan,,
,,,,udaypant,,
,,,,vinayak-kukreja,,
Sandbox,cedar-policy,,,adpaco-aws,https://github.com/cedar-policy/.project/blob/main/maintainers.yaml,cedar-policy-maintainers@lists.cncf.io
,,Ali Youssef Abdelmonsef Dowair,Individual - No Account,adowair,,
,,,,cdisselkoen,,
,,,,chaluli,,
,,,,D-McAdams,,
,,Eitan Revach,Dell Technologies,eitanre2,,
,,Emina Torlak,Individual - No Account,emina,,
,,,,iamatjlovelock,,
,,John Kastner,Individual - No Account,john-h-kastner-aws,,
,,Katherine Hough,Individual - No Account,katherine-hough,,
,,Liana Hadarean,Individual - No Account,lianah,,
,,Lucas Käldström,"Upbound, Inc.",luxas,,
,,,,patjakdev,,
,,,,shaobo-he-aws,,
,,Tom Paulus,Individual - No Account,tpaulus,,
,,Victor Nicolet,Individual - No Account,victornicolet,,
,,,,YanranZeng1,,
Sandbox,chaosblade-io,Changjun Xiao,Individual - No Account,xcaspar,https://github.com/chaosblade-io/.project/blob/main/maintainers.yaml,cncf-chaosblade-maintainers@lists.cncf.io
,,,,chaoyuanning,,
,,,,MandssS,,
,,Spencer Cai,,spencercjh,,
,,,,tiny-x,,
,,Xudong Guo,OpenAtom Foundation,sunny0826,,
Sandbox,cloudnative-pg,Armando Ruocco,EDB,armru,https://github.com/cloudnative-pg/.project/blob/main/maintainers.yaml,cncf-cloudnativepg-maintainers@lists.cncf.io
,,Francesco Canovai,EDB,fcanovai,,
,,Gabriele Bartolini,EDB,gbartolini,,
,,Leonardo Cecchi,Enterprise DB Corporation,leonardoce,,
,,Marco Nenciarini,EDB,mnencia,,
Sandbox,clusternet,,,garrybest,https://github.com/clusternet/.project/blob/main/maintainers.yaml,cncf-clusternet-maintainers@lists.cncf.io
,,Huifeng Le,Intel Corporation,hle2,,
,,,,lmxia,,
,,XU DI,Individual - No Account,dixudx,,
,,Yiwei Chen,Tencent Holdings Limited,yiwei-c,,
Sandbox,clusterpedia-io,chen wen,Individual - No Account,calvin0327,https://github.com/clusterpedia-io/.project/blob/main/maintainers.yaml,cncf-clusterpedia-maintainers@lists.cncf.io
,,Iceber Gu,"DaoCloud Network Technology Co., Ltd.",Iceber,,
,,Leo Shi,DaoCloud LLC,scydas,,
,,吴 迎俊,Individual - No Account,wuyingjun-lucky,,
Sandbox,CoHDI,Hidetsugu Sugiyama,Red Hat LLC,hsugiyam,https://github.com/CoHDI/.project/blob/main/maintainers.yaml,CNCF-CoHDI-Maintainers@lists.cncf.io
,,Jin Hase,Individual - No Account,hase1128,,
,,Kenji Tagashira,Individual - No Account,tgshrk1843,,
,,Kensuke Koda,Individual - No Account,dakensuk,,
,,Masaharu Kanda,"NTT DOCOMO BUSINESS, Inc.",kanlkan,,
,,Michele Gazzetti,International Business Machines Corporation,mgazz,,
,,Naoki Oguchi,Fsas Technologies Inc.,oguchinaoki,,
,,Toshihiro Iwamoto,VA Linux Systems Japan K.K.,toshiiw,,
Sandbox,composefs,Alexander Larsson,Red Hat LLC,alexlarsson,https://github.com/composefs/.project/blob/main/maintainers.yaml,cncf-composefs-maintainers@lists.cncf.io
,,Colin Walters,Individual - No Account,cgwalters,,
,,Giuseppe Scrivano,Red Hat LLC,giuseppe,,
,,Jan Luebbe,Pengutronix,jluebbe,,
Sandbox,connectrpc,Ajeet D'Souza,"Buf Technologies, Inc.",ajeetdsouza,https://github.com/connectrpc/.project/blob/main/maintainers.yaml,cncf-connect-maintainers@lists.cncf.io
,,Anuraag Agrawal,Individual - No Account,anuraaga,,
,,,,bufdev,,
,,Chris Roche,Individual - No Account,rodaine,,
,,Doria Keung,Individual - No Account,doriable,,
,,Eddie Seay,Individual - No Account,eseay,,
,,Edward McFarlane,Individual - No Account,emcfarlane,,
,,Iain McGinniss,Anthropic,iainmcgin,,
,,Josh Humphries,Individual - No Account,jhump,,
,,Matt Robenolt,"Functional Software, Inc. (Sentry)",mattrobenolt,,
,,Michael Rebello,Individual - No Account,rebello95,,
,,Philip Warren,"Buf Technologies, Inc.",pkwarren,,
,,,,spenczar,,
,,Sri Krishna,Individual - No Account,srikrsna,,
,,Stefan VanBuren,Individual - No Account,stefanvanburen,,
,,Steve Ayers,Individual - No Account,smaye81,,
,,Timo Stamm,"Buf Technologies, Inc.",timostamm,,
,,Yasushi Itoh,"MonotaRO Co., Ltd.",i2y,,
Sandbox,container2wasm,Kohei Tokunaga,Individual - No Account,ktock,https://github.com/container2wasm/.project/blob/main/maintainers.yaml,cncf-container2wasm-maintainers@lists.cncf.io
Sandbox,containerssh,Nikos Tsipinakis,CERN,tsipinakis,https://github.com/containerssh/.project/blob/main/maintainers.yaml,cncf-containerSSH-maintainers@lists.cncf.io
Sandbox,cozystack,Aleksei Sviridkin,Individual - No Account,lexfrei,https://github.com/cozystack/.project/blob/main/maintainers.yaml,cncf-cozystack-maintainers@lists.cncf.io
,,Andrey Kvapil,Individual - No Account,kvaps,,
,,Daniil Myasnikov,AENIX INC,myasnikovdaniil,,
,,Ivan Okhotnikov,AENIX INC,IvanHunters,,
,,Kingdon Barrett,Navteca,kingdonb,,
,,Matthieu ROBIN,Hidora,matthieu-robin,,
,,Mattia-Giordano Domenico Eleuteri,Hidora,mattia-eleuteri,,
,,Timofei Larkin,AENIX INC,lllamnyp,,
,,Timur Tukaev,Individual - No Account,tym83,,
Sandbox,CurvineIO,,,jlon,https://github.com/CurvineIO/.project/blob/main/maintainers.yaml,cncf-curvine-maintainers@lists.cncf.io
,,szbr szbr,Individual - No Account,szbr9486,,
,,Thuong Le Dac,Home Credit Vietnam,thuongle2210,,
,,xuen xuen,Individual - No Account,bigbigxu,,
,,yangchunxin yangchunxin,Individual - No Account,yangcx000,,
,,zejun lv,Individual - No Account,lzjqsdd,,
Sandbox,devfile,,,amisevsk,https://github.com/devfile/.project/blob/main/maintainers.yaml,cncf-devfile-maintainers@lists.cncf.io
,,Elson Yuen,CA Technologies,elsony,,
,,Mario Loriedo,Individual - No Account,l0rd,,
,,,,miaida,,
,,,,resios,,
,,Stevan Meur,Red Hat LLC,slemeur,,
,,Tomas Kral,Red Hat LLC,kadel,,
Sandbox,devspace-sh,Fabian Kramm,Individual - No Account,FabianKramm,https://github.com/devspace-sh/.project/blob/main/maintainers.yaml,cncf-devspace-maintainers@lists.cncf.io
,,Lukas Gentele,vCluster Labs,LukasGentele,,
,,Russell Centanni,Pluralsight,lizardruss,,
,,,,zerbitx,,
Sandbox,dexidp,Maksim Nabokikh,Palark GmbH,nabokihms,https://github.com/dexidp/.project/blob/main/maintainers.yaml,cncf-dex-maintainers@lists.cncf.io
,,Márk Sági-Kazár,Individual - No Account,sagikazarmark,,
Sandbox,distribution,Bryan Clark,Timescale,clarkbw,https://github.com/distribution/.project/blob/main/maintainers.yaml,cncf-distribution-maintainers@lists.cncf.io
,,Chris Patterson,"GitHub, Inc.",chrispat,,
,,Cory Snider,Mirantis,corhere,,
,,,,deleteriousEffect,,
,,,,heww,,
,,João Pereira,Individual - No Account,joaodrp,,
,,Justin Cormack,"Docker, Inc.",justincormack,,
,,Kyle Squizzato,"Mirantis, Inc.",squizzi,,
,,Milos Gajdos,GoCardless Ltd,milosgajdos,,
,,Sargun Dhillon,"Netflix, Inc.",sargun,,
,,Steve Lasker,InMage Systems,stevelasker,,
,,Wang Yan,Broadcom Inc,wy65701436,,
Sandbox,drasi-project,Agent LFX,Individual - No Account,agentofreality,https://github.com/drasi-project/.project/blob/main/maintainers.yaml,cncf-drasi-maintainers@lists.cncf.io
,,,,ama2369,,
,,Aman Singh,Microsoft Corporation,amansinghoriginal,,
,,Daniel Gerlag,Individual - No Account,danielgerlag,,
,,Nandita Valsan,Individual - No Account,NValsan,,
,,Ruokun Niu,Individual - No Account,ruokun-niu,,
Sandbox,easegress-io,Chen Su,"MegaEase, Inc.",suchen-sci,https://github.com/easegress-io/.project/blob/main/maintainers.yaml,cncf-easegress-maintainers@lists.cncf.io
,,Yun Long,"MegaEase, Inc.",xxx7xxxx,,
Sandbox,eraser-dev,Ashna Mehrotra,Individual - No Account,ashnamehrotra,https://github.com/eraser-dev/.project/blob/main/maintainers.yaml,cncf-eraser-maintainers@lists.cncf.io
,,Brian Goff,"Docker, Inc.",cpuguy83,,
,,Peter Engelbert,Microsoft,pmengelbert,,
,,Sertaç Özercan,Microsoft Corporation,sozercan,,
Sandbox,external-secrets,Alexander Chernov,Individual - No Account,alekc,https://github.com/external-secrets/.project/blob/main/maintainers.yaml,cncf-externalsecretsop-maintainers@lists.cncf.io
,,Gergely Brautigam,Kubermatic GmbH,skarlso,,
,,Gustavo Fernandes de Carvalho,Container Solutions BV,gusfcarvalho,,
,,,,IdanAdar,,
,,Jean-Philippe Evrard,Roche,evrardj-roche,,
,,Lucas Severo Alves,External Secrets Inc,knelasevero,,
,,Moritz Johner,Back Office Technology Limited (Form3),moolen,,
Sandbox,getporter,Brian DeGeeter,Defense Unicorns,bdegeeter,https://github.com/getporter/.project/blob/main/maintainers.yaml,cncf-porter-maintainers@lists.cncf.io
,,David Gannon,Individual - No Account,dgannon991,,
,,Jeremy Rickard,VMware LLC,jeremyrickard,,
,,Kim Christensen,SimCorp A/S,kichristensen,,
,,Sarah Christoff,Individual - No Account,schristoff,,
,,Steven Gettys,Individual - No Account,sgettys,,
,,Troy Connor,Microsoft,troy0820,,
Sandbox,getsops,Andrew Block,Red Hat,sabre1041,https://github.com/getsops/.project/blob/main/maintainers.yaml,cncf-SOPS-maintainers@lists.cncf.io
,,Devin Stein,Individual - No Account,devstein,,
,,,,felixfontein,,
,,Hidde Beydals,Weaveworks Inc.,hiddeco,,
,,,,onedr0p,,
Sandbox,headlamp-k8s,ashu ghildiyal,Microsoft Corporation,ashu8912,https://github.com/headlamp-k8s/.project/blob/main/maintainers.yaml,cncf-headlamp-maintainers@lists.cncf.io
,,Evangelos Skopelitis,Individual - No Account,skoeva,,
,,Joaquim Rocha,amutable,joaquimrocha,,
,,Kahiro Okina,"Craftsman Software, Inc.",kahirokunn,,
,,Oleksandr Dubenko,Individual - No Account,sniok,,
,,Rene Dudfield,Microsoft Corporation,illume,,
,,Santhosh Nagaraj Sukumar,Atlan,yolossn,,
,,Thomas Gamble,Microsoft Corporation,gambtho,,
,,Vincent T.,Individual - No Account,vyncent-t,,
Sandbox,higress-group,Kent Dong,Individual - No Account,CH3CHO,https://github.com/higress-group/.project/blob/main/maintainers.yaml,cncf-higress-maintainers@lists.cncf.io
,,leilei.gll leilei.gll,Individual - No Account,gengleilei,,
,,,,lexburner,,
,,Tianyi Zhang,Individual - No Account,johnlanni,,
,,Yuanxiao Zhao,Alibaba Cloud (Singapore) Private LTD,EndlessSeeker,,
,,程治玮 程治玮,Individual - No Account,cr7258,,
,,韩贤涛 韩贤涛,Individual - No Account,hanxiantao,,
Sandbox,HolmesGPT,,,alonelish,https://github.com/HolmesGPT/.project/blob/main/maintainers.yaml,holmesgpt-maintainers@lists.cncf.io
,,arik arik,Individual - No Account,arikalon1,,
,,Avi Kotlicky,Robusta.dev,Avi-Robusta,,
,,Moshe Morad,Individual - No Account,moshemorad,,
,,,,naomi-robusta,,
,,Natan Yellin,Robusta.dev,aantn,,
,,Nicolas Herment,Individual - No Account,nherment,,
,,Pavan Kiran Gudiwada,Freshworks,pavangudiwada,,
,,Qingchuan Hao,Individual - No Account,mainred,,
,,,,RoiGlinik,,
,,Tomer Keshet,Individual - No Account,Sheeproid,,
Sandbox,hwameistor,,,buffalo1024,https://github.com/hwameistor/.project/blob/main/maintainers.yaml,cncf-hwameistor-maintainers@lists.cncf.io
,,Fan Baofa,"DaoCloud Network Technology Co., Ltd.",carlory,,
,,,,FloatXD,,
,,Kay Yan,"DaoCloud Network Technology Co., Ltd.",yankay,,
,,Michael Yao,"DaoCloud Network Technology Co., Ltd.",windsonsea,,
,,mingming zhou,Individual - No Account,SSmallMonster,,
,,,,peng9808,,
,,,,sun7927,,
,,YAN NING ZHAO,Individual - No Account,zhaosimon,,
,,Yuanhang Pan,"DaoCloud Network Technology Co., Ltd.",panpan0000,,
Sandbox,hyperlight-dev,Dan Chiarlone,Microsoft,danbugs,https://github.com/hyperlight-dev/.project/blob/main/maintainers.yaml,cncf-hyperlight-maintainers@lists.cncf.io
,,David Justice,Microsoft Corporation,devigned,,
,,Doru Blânzeanu,Microsoft,dblnz,,
,,James Sturtevant,Microsoft Corporation,jsturtevant,,
,,Jorge Prendes,Individual - No Account,jprendes,,
,,Ludvig Liljenberg,Individual - No Account,ludfjig,,
,,Ralph Squillace,Microsoft Corporation,squillace,,
,,Simon Davies,Microsoft Corporation,simongdavies,,
,,,,syntactically,,
,,Tomasz Andrzejak,Microsoft Corporation,andreiltd,,
Sandbox,inclavare-containers,Jia Zhang,"ALIBABA.COM, INC.",jiazhang0,https://github.com/inclavare-containers/.project/blob/main/maintainers.yaml,cncf-inclavare-maintainers@lists.cncf.io
,,YangLiang YangLiang,Intel Corporation,YangLiang3,,
Sandbox,inspektor-gadget,Alban Crequy,Individual - No Account,alban,https://github.com/inspektor-gadget/.project/blob/main/maintainers.yaml,cncf-InspektorGadget-maintainers@lists.cncf.io
,,,,burak-ok,,
,,Chris Kühl,Individual - No Account,blixtra,,
,,Claudia Marcu,Individual - No Account,claudiamarcubina,,
,,,,eiffel-fl,,
,,Jose Blanquicet,Individual - No Account,blanquicet,,
,,Matthias Bertschy,ARMO (Cyber Armor),matthyx,,
,,Mauricio Vásquez Bernal,Microsoft,mauriciovasquezbernal,,
,,,,mayasingh17,,
,,Michael Friese,Individual - No Account,flyth,,
,,Qasim Sarfraz,Microsoft,mqasimsarfraz,,
,,,,vfalico,,
Sandbox,interlink-hq,Diego Ciangottini,INFN,dciangot,https://github.com/interlink-hq/.project/blob/main/maintainers.yaml,cncf-interlink-maintainers@lists.cncf.io
,,Giulio Giulio,Individual - No Account,bianco95,,
,,,,spigad,,
Sandbox,k0sproject,Alexey Makhov,Individual - No Account,makhov,https://github.com/k0sproject/.project/blob/main/maintainers.yaml,cncf-k0s-maintainers@lists.cncf.io
,,,,apedriza,,
,,,,emosbaugh,,
,,Jussi Nummelin,"Mirantis, Inc.",jnummelin,,
,,Kimmo Tapani Lehto,"Kontena, Inc.",kke,,
,,Natanael Copa,"Mirantis, Inc.",ncopa,,
,,Tom Wieczorek,Mirantis,twz123,,
Sandbox,k3s-io,[[unknown]] [[unknown]],Individual - No Account,caroline-suse-rancher,https://github.com/k3s-io/.project/blob/main/maintainers.yaml,cncf-k3s-maintainers@lists.cncf.io
,,Brad Davidson,Individual - No Account,brandond,,
,,Brian Downs Downs,,briandowns,,
,,Chris Wayne,Individual - No Account,cwayne18,,
,,Derek Nola,Individual - No Account,dereknola,,
,,Hussein Galal Abdelaziz Ahmed Sayed,SUSE LLC,galal-hussein,,
,,Manuel Buil,SUSE LLC,manuelbuil,,
,,Matt Trachier,Individual - No Account,matttrach,,
,,,,mdrahman-suse,,
,,,,rancher-max,,
,,Roberto Bonafiglia,Individual - No Account,rbrtbnfgl,,
,,,,ShylajaDevadiga,,
,,,,thomasferrandiz,,
Sandbox,k8sgpt-ai,Alex Jones,"Amazon Web Services, Inc.",AlexsJones,https://github.com/k8sgpt-ai/.project/blob/main/maintainers.yaml,cncf-K8sGPT-maintainers@lists.cncf.io
,,Aris Boutselis,Individual - No Account,arbreezy,,
,,,,matthisholleville,,
Sandbox,k8up-io,Nicolas Bigler,VSHN AG,TheBigLee,https://github.com/k8up-io/.project/blob/main/maintainers.yaml,cncf-K8up-maintainers@lists.cncf.io
,,Simon Beck,Individual - No Account,Kidswiss,,
,,Tobias Brunner,VSHN AG,tobru,,
,,,,zugao,,
,,Łukasz Widera,Individual - No Account,wejdross,,
Sandbox,kagent-dev,Arthur Berger,"Solo.io, Inc.",artberger,https://github.com/kagent-dev/.project/blob/main/maintainers.yaml,cncf-kagent-maintainers@lists.cncf.io
,,Dmitriy Rashko,Amdocs Limited,dimetron,,
,,Eitan Yarmush,"Solo.io, Inc.",EItanya,,
,,Lin Sun,"Solo.io, Inc.",linsun,,
,,,,Nadine2016,,
,,Peter Jausovec,"Solo.io, Inc.",peterj,,
,,Scott Weiss,"Solo.io, Inc.",ilackarms,,
,,yuval kohavi,"Solo.io, Inc.",yuval-k,,
Sandbox,kai-scheduler,David Lifshitz,Individual - No Account,davidLif,https://github.com/kai-scheduler/.project/blob/main/maintainers.yaml,cncf-kai-scheduler-maintainers@lists.cncf.io
,,,,EkinKarabulut,,
,,Erez Freiberger,Red Hat LLC,enoodle,,
,,,,gshaibi,,
,,,,Hagay-RunAI,,
,,,,keinandaniel,,
,,,,omer-dayan,,
,,Omri Cohen,NVIDIA,itsomri,,
,,Roman Baron,Nvidia,romanbaron,,
,,Sior Meir,Individual - No Account,siormeir,,
Sandbox,kairos-io,Dimitris Karakasilis,"Spectro Cloud, Inc.",jimmykarily,https://github.com/kairos-io/.project/blob/main/maintainers.yaml,cncf-kairos-maintainers@lists.cncf.io
,,Ettore Di Giacinto,"Spectro Cloud, Inc.",mudler,,
,,Itxaka Serrano,"Spectro Cloud, Inc.",itxaka,,
,,Mauro Morales,"Spectro Cloud, Inc.",mauromorales,,
,,Rishi Anand,"Spectro Cloud, Inc.",rishi-anand,,
,,William Rizzo,Mirantis,wrkode,,
Sandbox,kaito-project,Andy Zhang,Microsoft Corporation,andyzhangx,https://github.com/kaito-project/.project/blob/main/maintainers.yaml,cncf-kaito-maintainers@lists.cncf.io
,,Fei Guo,Individual - No Account,Fei-Guo,,
,,zhuang qinghui,Individual - No Account,zhuangqh,,
Sandbox,kanisterio,,,alka-infracloud,https://github.com/kanisterio/.project/blob/main/maintainers.yaml,cncf-kanister-maintainers@lists.cncf.io
,,,,julio-lopez,,
,,Pavan Navarathna,Veeam Software,pavannd1,,
,,Prasad Ghangal,Infracloud Technologies INC,PrasadG193,,
,,Tom Manville,"Kasten, Inc.",tdmanv,,
Sandbox,kbind-dev,Christoph Mewes,Kubermatic GmbH,xrstf,https://github.com/kbind-dev/.project/blob/main/maintainers.yaml,cncf-kbind-maintainers@lists.cncf.io
